Hospital_Name_English,Hospital_Name_Arabic,Governorate_English,Governorate_Arabic,City_District,Full_Address,Type,Specialty
El Azhar University Hospital (Damietta),?????? ?????? ??????? ??????,Damietta,?????,Damietta,New Damietta City,University,General
El Azhar University Hospital (Qena),?????? ?????? ??????? ????,Qena,???,Qena,Qena City,University,General
Helwan University Hospital,?????? ????? ?????,Cairo,???????,Helwan,Helwan University Campus,University,General
Sadr El Maadi Hospital,?????? ??? ???????,Cairo,???????,Maadi,Maadi St.,Public,Chest
El Hay El Asher Hospital,?????? ???? ??????,Cairo,???????,10th of Ramadan City,10th of Ramadan City,Public,General
10th of Ramadan City Hospital,?????? ????? ?????? ?? ?????,Sharqia,???????,10th of Ramadan City,10th of Ramadan City,Public,General
Obour City Hospital,?????? ????? ??????,Qalyubia,?????????,El Obour City,El Obour City,Public,General
Badr City Hospital Cairo,?????? ??? ????????,Cairo,???????,Badr City,Badr City,Public,General
Abu Rawash Hospital,?????? ??? ????,Giza,??????,Abu Rawash,Abu Rawash,Public,General
Kerdasa Chest Hospital,?????? ????? ???????,Giza,??????,Kerdasa,Kerdasa St.,Public,Chest
Kerdasa Fever Hospital,?????? ??????? ???????,Giza,??????,Kerdasa,Kerdasa St.,Public,Fever/Infectious
Aswan University Hospital (New),?????? ????? ??????? ??????,Aswan,?????,Aswan,Aswan University New Campus,University,General
Kom Ombo Chest Hospital,?????? ????? ???? ????,Aswan,?????,Kom Ombo,Kom Ombo St.,Public,Chest
Edfu Fever Hospital,?????? ??????? ?????,Aswan,?????,Edfu,Edfu St.,Public,Fever/Infectious
Luxor Oncology Center,???? ??????? ???????,Luxor,??????,Luxor,Luxor City,Public,Oncology
Luxor Chest Hospital,?????? ????? ???????,Luxor,??????,Luxor,Luxor City,Public,Chest
Port Said Eye Hospital (New),?????? ?????? ?????? ????????,Port Said,???????,Port Said,Port Said City,Public,Ophthalmology
Suez Canal University Pediatric Hospital,?????? ??????? ?????? ???? ??????,Ismailia,???????????,Ismailia,Suez Canal University Campus,University,Pediatrics
Damietta New City Hospital,?????? ????? ????? ???????,Damietta,?????,New Damietta,New Damietta City,Public,General
New Valley Oncology Center,???? ??????? ??????? ??????,New Valley,?????? ??????,El Kharga,El Kharga City,Public,Oncology
Hurghada Private Hospital,?????? ??????? ?????,Red Sea,????? ??????,Hurghada,Hurghada City,Private,General
Sahl Hasheesh Medical Center,?????? ????? ???? ????,Red Sea,????? ??????,Sahl Hasheesh,Sahl Hasheesh Resort,Private,General
El Arish University Hospital,?????? ?????? ???????,North Sinai,???? ?????,Al Arish,Al Arish University Campus,University,General
Saint Catherine Emergency Center,???? ???? ?????? ???????,South Sinai,???? ?????,Saint Catherine,Saint Catherine City,Public,Emergency
Taba Medical Center,?????? ????? ?????,South Sinai,???? ?????,Taba,Taba City,Public,General
Fayoum Oncology Center,???? ??????? ???????,Fayoum,??????,Fayoum,Fayoum City,Public,Oncology
Beni Suef Oncology Center,???? ??????? ???? ????,Beni Suef,??? ????,Beni Suef,Beni Suef City,Public,Oncology
Sohag Oncology Center,???? ??????? ??????,Sohag,?????,Sohag,Sohag City,Public,Oncology
Minya Oncology Center,???? ??????? ???????,Minya,??????,Minya,Minya City,Public,Oncology
Gharbia Oncology Center,???? ????? ???????,Gharbia,???????,Tanta,Tanta City,Public,Oncology
Dakahlia Oncology Center,???? ????? ????????,Dakahlia,????????,Mansoura,Mansoura City,Public,Oncology
Qalyubia Oncology Center,???? ????? ?????????,Qalyubia,?????????,Benha,Benha City,Public,Oncology
Kafr El Sheikh Oncology Center,???? ????? ??? ?????,Kafr El Sheikh,??? ?????,Kafr El Sheikh,Kafr El Sheikh City,Public,Oncology
Al Rehab Medical Center,?????? ????? ???????,Cairo,???????,Al Rehab City,Al Rehab City,Private,Medical Complex
Madinaty Medical Center,?????? ????? ???????,Cairo,???????,Madinaty,Madinaty City,Private,Medical Complex
Tagamoa Medical Center,?????? ????? ???????,Cairo,???????,New Cairo,New Cairo City,Private,Medical Complex
El Rehab Specialized Hospital,?????? ?????? ???????,Cairo,???????,Al Rehab City,Al Rehab City,Private,Specialized
Madinaty Specialized Hospital,?????? ?????? ???????,Cairo,???????,Madinaty,Madinaty City,Private,Specialized
Alexandria Medical Center,?????? ????? ???????????,Alexandria,??????????,Azarita,Azarita St.,Private,General
Semouha Medical Center,?????? ????? ??????,Alexandria,??????????,Smouha,Smouha St.,Private,General
Louran Hospital,?????? ?????,Alexandria,??????????,Louran,Louran St.,Private,General
El Saraya Hospital,?????? ??????,Alexandria,??????????,El Saraya,El Saraya St.,Private,General
Zahraa El Maadi Hospital,?????? ????? ???????,Cairo,???????,Maadi,Maadi St.,Private,General
El Zaitoun Specialized Hospital,?????? ??????? ???????,Cairo,???????,El Zaitoun,El Zaitoun St.,Public,Specialized
Misr El Gideda Hospital,?????? ??? ???????,Cairo,???????,Misr El Gideda,Misr El Gideda St.,Public,General
Neurosurgery Institute,???? ????? ???? ????????,Cairo,???????,El-Sayeda Zeinab,El-Sayeda Zeinab St.,University,Neurosurgery
Plastic Surgery Institute,???? ??????? ?????????,Cairo,???????,El-Monira,El-Monira St.,University,Plastic Surgery
Orthopedic Institute,???? ??????,Cairo,???????,El-Haram,El-Haram St.,University,Orthopedics
National Nutrition Institute,?????? ?????? ???????,Cairo,???????,El-Haram,El-Haram St.,Public,Nutrition
National Liver Institute,?????? ?????? ?????,Monufia,????????,Shebin El Kom,Shebin El Kom University Campus,University,Hepatology
Mansoura Liver Center,???? ????? ?????????,Dakahlia,????????,Mansoura,Mansoura City,University,Hepatology
Mansoura Cardiac Center,???? ????? ?????????,Dakahlia,????????,Mansoura,Mansoura City,University,Cardiology
Tanta Chest Diseases Hospital,?????? ??????? ??????? ?????,Gharbia,???????,Tanta,Tanta City,Public,Chest
El Mahalla Oncology Center,???? ????? ??????,Gharbia,???????,El Mahalla,El Mahalla City,Public,Oncology
Banha Pediatric Hospital,?????? ??????? ?????,Qalyubia,?????????,Benha,Benha City,Public,Pediatrics
Aga Fever Hospital,?????? ??????? ????,Dakahlia,????????,Aga,Aga City,Public,Fever/Infectious
El Senbellawein Fever Hospital,?????? ??????? ???????????,Dakahlia,????????,El Senbellawein,El Senbellawein City,Public,Fever/Infectious
Manzala Chest Hospital,?????? ????? ????????,Dakahlia,????????,Manzala,Manzala City,Public,Chest
